source_player_id,player_name,birth_date,country,season,league,role,age,sample_size,k_pct,bb_pct,iso,contact_pct,chase_pct,avg_fastball_velocity,zone_pct,sprint_speed,biomech_score,player_id,match_method,country_std,performance_index,position,signing_bonus_usd,country_std_canonical,overall_future_value,position_group,age_band,bonus_tier,next_season_index,next_season,positive_outcome
INT-0003,Haruto Kim,2003-01-15,Dominican Republic,2025,Complex League,Position Player,22,486,0.1440907852111198,0.0901641944322983,0.1608578285466626,0.8059060795440974,0.2808835717415577,,,25.24044804746175,49.54918281703943,INT-0003,source_id,Dominican Republic,0.5055041412198054,C,55000.0,Dominican Republic,45,C,21-22,Under $100K,,,
INT-0004,Luis Estrada,2004-09-26,Venezuela,2023,Dominican Summer League,Pitcher,19,279,0.1981480521901939,0.1075305756542915,,,,89.77422846842758,0.4739096485329436,,48.90334971532286,INT-0004,source_id,Venezuela,-0.006888439714840162,RHP,99000.0,Venezuela,40,Pitcher,19-20,Under $100K,0.05686019225273923,2024.0,0.0
INT-0004,Luis Estrada,2004-09-26,VZ,2024,Dominican Summer League,Pitcher,20,188,0.2538081860525243,0.1493581447266561,,,,92.7803689064054,0.4566740631998572,,51.147153415498416,INT-0004,source_id,Venezuela,0.05686019225273923,RHP,99000.0,Venezuela,40,Pitcher,19-20,Under $100K,0.21116909102574138,2025.0,0.0
INT-0004,Luis Estrada,2004-09-26,Venezuela,2025,Dominican Summer League,Pitcher,21,444,0.2781853204457123,0.1361101126318395,,,,91.73177038606592,0.467036248045998,,60.72088870114665,INT-0004,source_id,Venezuela,0.21116909102574138,RHP,99000.0,Venezuela,40,Pitcher,21-22,Under $100K,,,
INT-0005,Seong-hyun Garcia,2006-08-13,Dominican Republic,2024,Dominican Summer League,Position Player,18,251,0.217844320083842,0.051218259031463,0.0727528566574085,0.6941222225673965,0.2942525980451289,,,25.90145963876383,44.04433143242957,INT-0005,source_id,Dominican Republic,-0.6968903315538899,OF,38000.0,Dominican Republic,40,OF,18 and under,Under $100K,0.0011484460129966706,2025.0,0.0
INT-0005,Seong-hyun Garcia,2006-08-13,Dominican Republic,2025,Dominican Summer League,Position Player,19,515,0.2281449706526221,0.0794204639441797,0.1884711822993761,0.7233007354112891,0.2881785247408803,,,25.375952168319923,45.78986275168742,INT-0005,source_id,Dominican Republic,0.0011484460129966706,OF,38000.0,Dominican Republic,40,OF,19-20,Under $100K,,,
,Yun-seo Vargas,2004-07-03,South Korea,2022,KBO Futures,Position Player,18,172,0.24458642755565,0.0673224600101187,0.1365716777193221,0.7228072445791441,0.3299072880025788,,,25.565630937971413,48.29670168517473,INT-0006,name_birth_date,South Korea,-0.10179286195953456,IF,216000.0,South Korea,50,IF,18 and under,$100K-$499K,,2024.0,
INT-0006,Yun-seo Vargas,2004-07-03,South Korea,2024,Independent,Position Player,20,250,0.2353681574504913,0.0478660973989666,0.1504813636079408,0.7283489273725774,0.2939846280188901,,,26.55046284434357,41.10219416613909,INT-0006,source_id,South Korea,-0.03789502001044803,IF,216000.0,South Korea,50,IF,19-20,$100K-$499K,-0.23186745570724926,2025.0,0.0
INT-0006,Yun-seo Vargas,2004-07-03,South Korea,2025,KBO Futures,Position Player,21,149,0.2599100602933049,0.0966445619680732,0.168592138581353,0.7285165468552925,0.3188066932921372,,,25.617275956975043,43.52983546409118,INT-0006,source_id,South Korea,-0.23186745570724926,IF,216000.0,South Korea,50,IF,21-22,$100K-$499K,,,
INT-0007,Seong-hyun Benitez,2002-08-04,Dominican Republic,2023,Complex League,Pitcher,21,531,0.1897999516333314,0.1230867947113384,,,,89.37291809572848,0.5105335673604311,,35.872156268759525,INT-0007,source_id,Dominican Republic,-0.2651394132949409,LHP,97000.0,Dominican Republic,45,Pitcher,21-22,Under $100K,0.5968162311394432,2024.0,1.0
INT-0007,Seong-hyun Benitez,2002-08-04,Dominican Rep.,2024,Dominican Summer League,Pitcher,22,370,0.246083566788829,0.0712640244508819,,,,89.5264250428867,0.5248133384294908,,53.27851613573911,INT-0007,source_id,Dominican Republic,0.5968162311394432,LHP,97000.0,Dominican Republic,45,Pitcher,21-22,Under $100K,0.30917877475716243,2025.0,0.0
INT-0007,Seong-hyun Benitez,2002-08-04,D.R.,2025,Dominican Summer League,Pitcher,23,606,0.2493192284647105,0.0953026155000052,,,,90.61303881090936,0.5273913522708066,,47.32367683478913,INT-0007,source_id,Dominican Republic,0.30917877475716243,LHP,97000.0,Dominican Republic,45,Pitcher,23+,Under $100K,,2022.0,
INT-0008,Carlos Castillo,2005-02-25,Japan,2023,Industrial League,Position Player,18,197,0.227053818921103,0.0695666281656843,0.1105075230278905,0.7757350853767669,0.2952177526932033,,,25.87636036528978,56.84972230852575,INT-0008,source_id,Japan,0.423773567115277,C,79000.0,Japan,45,C,18 and under,Under $100K,0.5712435865000425,2024.0,1.0
INT-0008,Carlos Castillo,2005-02-25,Japan,2024,NPB Farm,Position Player,19,287,0.258837418543929,0.0603828316029666,0.1428273385350452,0.7965239917677754,0.2824313320183473,,,25.405662408156974,53.7834910497293,INT-0008,source_id,Japan,0.5712435865000425,C,79000.0,Japan,45,C,19-20,Under $100K,0.32910150279318373,2025.0,0.0
INT-0008,Carlos Castillo,2005-02-25,JPN,2025,Industrial League,Position Player,20,327,0.2512916239227177,0.1064247193043469,0.1631865594355263,0.7188721603993115,0.2472980012775051,,,26.87892190096717,49.475725382117815,INT-0008,source_id,Japan,0.32910150279318373,C,79000.0,Japan,45,C,19-20,Under $100K,,,
INT-0009,Omar Castillo,2002-11-14,Dominican Republic,2022,Complex League,Position Player,20,461,0.2201105497434496,0.1115135211296391,0.1230111808255906,0.7643221223194564,0.2527621086097803,,,25.01889927585192,44.595502789862856,INT-0009,source_id,Dominican Republic,0.31184331289851497,OF,81000.0,Dominican Republic,40,OF,19-20,Under $100K,0.6765815321233151,2023.0,1.0
,Omar Castillo,2002-11-14,Dominican Republic,2023,Complex League,Position Player,21,397,0.2039996687504518,0.076975605876888,0.1919180519645567,0.7672571641367825,0.2761853264315417,,,25.9746799145802,45.75191090070766,INT-0009,name_birth_date,Dominican Republic,0.6765815321233151,OF,81000.0,Dominican Republic,40,OF,21-22,Under $100K,0.22026590543092056,2024.0,0.0
INT-0009,Omar Castillo,2002-11-14,D.R.,2024,Complex League,Position Player,22,115,0.1714363577963062,0.1200336924495368,0.0876546675782101,0.7805628773984177,0.2207522298120923,,,24.38843057022997,49.62134424477416,INT-0009,source_id,Dominican Republic,0.22026590543092056,OF,81000.0,Dominican Republic,40,OF,21-22,Under $100K,0.7194166974760237,2025.0,1.0
INT-0009,Omar Castillo,2002-11-14,Dominican Republic,2025,Dominican Summer League,Position Player,23,451,0.1845863454237065,0.1036434191738869,0.1559340295960583,0.8070339079405243,0.2483085844780641,,,25.737204338371832,49.97296226533128,INT-0009,source_id,Dominican Republic,0.7194166974760237,OF,81000.0,Dominican Republic,40,OF,23+,Under $100K,,,
INT-0010,  Luis Han ,2005-04-22,Venezuela,2023,Complex League,Pitcher,18,510,0.2155964765791452,0.1396224317008417,,,,89.81521597706424,0.4241874095846282,,58.69190330485786,INT-0010,source_id,Venezuela,-0.22444431673495197,RHP,25000.0,Venezuela,35,Pitcher,18 and under,Under $100K,-0.7206046758072042,2024.0,0.0
INT-0010,LUIS HAN,2005-04-22,Venezuela,2024,Complex League,Pitcher,19,377,0.1970664438479089,0.1621715430941425,,,,87.41223547307729,0.4619715166076357,,56.82935108512093,INT-0010,source_id,Venezuela,-0.7206046758072042,RHP,25000.0,Venezuela,35,Pitcher,19-20,Under $100K,-0.600379793708664,2025.0,0.0
,Luis Han,2005-04-22,Venezuela,2025,Complex League,Pitcher,20,219,0.2009770323451972,0.1216917971186833,,,,89.4452272541399,0.4456269249639131,,47.21441118494775,INT-0010,name_birth_date,Venezuela,-0.600379793708664,RHP,25000.0,Venezuela,35,Pitcher,19-20,Under $100K,,,
INT-0011,Carlos Sato,2006-01-05,Dominican Republic,2023,Dominican Summer League,Position Player,17,473,0.243598551859915,0.0748726388210409,0.1955269994990974,0.7322290058025508,0.281313162079173,,,27.48419336724174,52.523872117881126,INT-0011,source_id,Dominican Republic,0.829339733928485,C,43000.0,Dominican Republic,55,C,18 and under,Under $100K,0.543367406798434,2024.0,1.0
INT-0011,Carlos Sato,2006-01-05,Dominican Republic,2024,Complex League,Position Player,18,463,0.2163418400756685,0.0912996442211887,0.1910969415767962,0.7327520467776497,0.3090032247118653,,,26.73439559614071,59.7584116630906,INT-0011,source_id,Dominican Republic,0.543367406798434,C,43000.0,Dominican Republic,55,C,18 and under,Under $100K,1.210012730025094,2025.0,1.0
INT-0011,Carlos Sato,2006-01-05,Dominican Republic,2025,Dominican Summer League,Position Player,19,125,0.1930105529640918,0.0954814440303522,0.2241729680758097,0.7597649014615976,0.2727964229324295,,,27.66866189142833,61.38892995182277,INT-0011,source_id,Dominican Republic,1.210012730025094,C,43000.0,Dominican Republic,55,C,19-20,Under $100K,,,
INT-0012,Luis Navarro,2000-12-12,Mexico,2022,Mexican League,Pitcher,22,356,0.1978770503123449,0.0825275886117721,,,,91.68915726698678,0.4730998868923582,,62.57350136339224,INT-0012,source_id,Mexico,0.6559396271618663,RHP,779000.0,Mexico,50,Pitcher,21-22,$500K-$1.49M,0.9376334670777187,2023.0,1.0
INT-0012,Luis Navarro,2000-12-12,Mexico,2023,Mexican Pacific League,Pitcher,23,375,0.2688548081115169,0.0872997039823403,,,,90.66168382009,0.4899176340180335,,63.11635865266794,INT-0012,source_id,Mexico,0.9376334670777187,RHP,779000.0,Mexico,50,Pitcher,23+,$500K-$1.49M,0.7416182326033024,2024.0,1.0
INT-0012,LUIS NAVARRO,2000-12-12,Mexico,2024,Mexican League,Pitcher,24,568,0.2130926661031689,0.0821781620902053,,,,90.58270320455122,0.5084434478949398,,77.31219258051172,INT-0012,source_id,Mexico,0.7416182326033024,RHP,779000.0,Mexico,50,Pitcher,23+,$500K-$1.49M,0.7587156304194932,2025.0,1.0
,Luis Navarro,2000-12-12,Mexico,2025,Mexican Pacific League,Pitcher,25,588,0.256776465543112,0.0824607733470322,,,,91.00996513443565,0.5061378618709748,,70.35906818238821,INT-0012,name_birth_date,Mexico,0.7587156304194932,RHP,779000.0,Mexico,50,Pitcher,23+,$500K-$1.49M,,,
INT-0013,Ji-ho Jimenez,2006-06-08,Venezuela,2022,Complex League,Position Player,16,217,0.1986822795419822,0.0836316090351154,0.1196464138034408,0.7228643906148833,0.3226715481604805,,,26.179898349814795,51.57296892656459,INT-0013,source_id,Venezuela,0.017110025108568704,IF,58000.0,Venezuela,50,IF,18 and under,Under $100K,-0.036479901255296376,2023.0,0.0
INT-0013,Ji-ho Jimenez,2006-06-08,Venezuela,2023,Dominican Summer League,Position Player,17,287,0.2450071043584833,0.0716998110957184,0.1653149526462508,0.7276531789200121,0.2924309208038347,,,25.710675161963437,38.97786877082845,INT-0013,source_id,Venezuela,-0.036479901255296376,IF,58000.0,Venezuela,50,IF,18 and under,Under $100K,0.36659464299348593,2024.0,0.0
INT-0013,Ji-ho Jimenez,2006-06-08,Venezuela,2024,Dominican Summer League,Position Player,18,476,0.2027298773565045,0.0533369494322334,0.1819588511898572,0.7579037891350541,0.2818741358992616,,,25.126955261495542,50.05559900813692,INT-0013,source_id,Venezuela,0.36659464299348593,IF,58000.0,Venezuela,50,IF,18 and under,Under $100K,0.1649994260782327,2025.0,0.0
INT-0013,JI-HO JIMENEZ,2006-06-08,Venezuela,2025,Dominican Summer League,Position Player,19,432,0.2083771255194548,0.1191249705405128,0.1877454954791725,0.7589010769480043,0.272782412885983,,,25.485450546405144,39.11888910360474,INT-0013,source_id,Venezuela,0.1649994260782327,IF,58000.0,Venezuela,50,IF,19-20,Under $100K,,,
INT-0014,Esteban Tanaka,2001-02-17,Japan,2022,NPB Farm,Position Player,21,121,0.2252601672288129,0.0595703788799044,0.0337563679741655,0.7501598130063594,0.3431239570654447,,,23.98806893163341,36.6293833505141,INT-0014,source_id,Japan,-0.9601652427932323,IF,135000.0,Japan,40,IF,21-22,$100K-$499K,-0.6758624081207765,2023.0,0.0
INT-0014,Esteban Tanaka,2001-02-17,Japan,2023,NPB Farm,Position Player,22,412,0.2704983271273866,0.0606783746147283,0.1065065633266342,0.7018612619196404,0.3093089894264246,,,25.816970422257818,36.49320365841248,INT-0014,source_id,Japan,-0.6758624081207765,IF,135000.0,Japan,40,IF,21-22,$100K-$499K,-0.6604566154703516,2024.0,0.0
INT-0014,Esteban Tanaka,2001-02-17,Japan,2024,NPB Farm,Position Player,23,92,0.2240804135158139,0.0774530639431841,0.0912363837425427,0.7052617854634111,0.2862008389469802,,,24.596531573046352,44.8357719813607,INT-0014,source_id,Japan,-0.6604566154703516,IF,135000.0,Japan,40,IF,23+,$100K-$499K,-0.9731034488084207,2025.0,0.0
INT-0014,Esteban Tanaka,2001-02-17,Japan,2025,NPB Farm,Position Player,24,147,0.2342966144887418,0.0800102431101913,0.0946853076064324,0.6799315232062376,0.34242102642571,,,25.331969303800328,49.25028258187878,INT-0014,source_id,Japan,-0.9731034488084207,IF,135000.0,Japan,40,IF,23+,$100K-$499K,,,
INT-0015,Emilio Rojas,2007-04-27,Dominican Rep.,2025,Dominican Summer League,Position Player,18,303,0.2605509251755417,0.0949129604424853,0.1710844724433386,0.7377589763948876,0.2744664528915606,,,24.56732396130036,35.17571320980525,INT-0015,source_id,Dominican Republic,-0.3005875787862353,C,30000.0,Dominican Republic,45,C,18 and under,Under $100K,,,
INT-0016,Esteban Han,1999-10-10,Mexico,2022,Mexican Pacific League,Pitcher,23,377,0.2479225148702534,0.0674856790359216,,,,91.95779928318731,0.4901679766123921,,71.82579040270234,INT-0016,source_id,Mexico,1.3013707257603497,LHP,159000.0,Mexico,45,Pitcher,23+,$100K-$499K,1.197619022110789,2023.0,1.0
,Esteban Han,1999-10-10,Mexico,2023,Mexican Pacific League,Pitcher,24,106,0.2713429805753238,0.0544738901782282,,,,91.7406133492051,0.4607123286585798,,63.23258321173425,INT-0016,name_birth_date,Mexico,1.197619022110789,LHP,159000.0,Mexico,45,Pitcher,23+,$100K-$499K,0.693509317326386,2024.0,1.0
INT-0016,ESTEBAN HAN,1999-10-10,Mexico,2024,Mexican League,Pitcher,25,118,0.2426804937790436,0.0849184387027998,,,,90.63412261470567,0.5018723423291763,,66.1152991675443,INT-0016,source_id,Mexico,0.693509317326386,LHP,159000.0,Mexico,45,Pitcher,23+,$100K-$499K,0.7777671371366137,2025.0,1.0
INT-0016,Esteban Han,1999-10-10,Mexico,2025,Mexican Pacific League,Pitcher,26,384,0.2776148723976971,0.1049562506114055,,,,91.96883088662004,0.5218732621588081,,66.29853720417334,INT-0016,source_id,Mexico,0.7777671371366137,LHP,159000.0,Mexico,45,Pitcher,23+,$100K-$499K,,,
INT-0017,Alejandro Dominguez,2005-03-10,Cuba,2023,Independent,Pitcher,18,534,0.1239252768495684,0.1532462598163883,,,,87.73939566226773,0.4306730775550756,,57.7095893246685,INT-0017,source_id,Cuba,-1.046052126351302,RHP,19000.0,Cuba,35,Pitcher,18 and under,Under $100K,-0.7890246736808695,2024.0,0.0
INT-0017,Alejandro Dominguez,2005-03-10,Cuba,2024,Cuban National Series,Pitcher,19,372,0.1586157544145615,0.1249040672079985,,,,87.41246926149964,0.4546091578517297,,52.38153477757454,INT-0017,source_id,Cuba,-0.7890246736808695,RHP,19000.0,Cuba,35,Pitcher,19-20,Under $100K,-0.9214192757030628,2025.0,0.0
INT-0017,Alejandro Dominguez,2005-03-10,CUB,2025,Independent,Pitcher,20,608,0.1383610555052086,0.0999503476295189,,,,86.43542239179448,0.4667184507998695,,49.16136105966915,INT-0017,source_id,Cuba,-0.9214192757030628,RHP,19000.0,Cuba,35,Pitcher,19-20,Under $100K,,,
INT-0018,Diego Herrera,2007-02-09,Dominican Republic,2025,Dominican Summer League,Position Player,18,578,0.2976105615849421,0.0457592397991423,0.113379969690737,0.6820036528897142,0.3668531717767054,,,25.784685956758995,37.93454171019985,INT-0018,source_id,Dominican Republic,-1.1717875146936498,IF,24000.0,Dominican Republic,40,IF,18 and under,Under $100K,,,
INT-0019,Jorge Dominguez,2007-04-04,Colombia,2024,Complex League,Pitcher,17,332,0.1980110840972282,0.0825701219651888,,,,91.275595770091,0.5236628898957085,,47.96589122839744,INT-0019,source_id,Colombia,0.28468119960672406,LHP,51000.0,Colombia,45,Pitcher,18 and under,Under $100K,0.42400321643517624,2025.0,0.0
INT-0019,Jorge Dominguez,2007-04-04,Colombia,2025,Complex League,Pitcher,18,565,0.2452577675952923,0.0744849546650703,,,,90.68195491198772,0.5349162929269201,,43.26733902068942,INT-0019,source_id,Colombia,0.42400321643517624,LHP,51000.0,Colombia,45,Pitcher,18 and under,Under $100K,,,
INT-0020,DANIEL SATO,2005-06-01,Dominican Republic,2024,Complex League,Pitcher,19,226,0.2946126739557815,0.1526545523379733,,,,91.14269934815934,0.4484757592083874,,49.532617952276894,INT-0020,source_id,Dominican Republic,0.0790404716325371,RHP,76000.0,Dominican Republic,55,Pitcher,19-20,Under $100K,-0.035465042606523084,2025.0,0.0
INT-0020,Daniel Sato,2005-06-01,D.R.,2025,Dominican Summer League,Pitcher,20,485,0.229510083980402,0.0989960969290701,,,,94.08102568754732,0.4546988823238386,,34.67092001914415,INT-0020,source_id,Dominican Republic,-0.035465042606523084,RHP,76000.0,Dominican Republic,55,Pitcher,19-20,Under $100K,,,
INT-0021,Gabriel Park,2002-07-21,South Korea,2022,KBO Futures,Pitcher,20,323,0.1520794016523791,0.1272338417252692,,,,90.02542335362199,0.4886681599951324,,51.04445706050007,INT-0021,source_id,South Korea,-0.23690180892761742,RHP,10000.0,South Korea,40,Pitcher,19-20,Under $100K,-0.06933429206848606,2023.0,0.0
INT-0021,Gabriel Park,2002-07-21,South Korea,2023,KBO Futures,Pitcher,21,454,0.208620417568846,0.103610171580433,,,,88.73235088268714,0.4478917898556268,,52.19194120155061,INT-0021,source_id,South Korea,-0.06933429206848606,RHP,10000.0,South Korea,40,Pitcher,21-22,Under $100K,-0.4444493819752475,2024.0,0.0
INT-0021,Gabriel Park,2002-07-21,South Korea,2024,KBO Futures,Pitcher,22,552,0.1645351907867749,0.1208902042771087,,,,88.68907406708095,0.5001325228440704,,51.68276521158785,INT-0021,source_id,South Korea,-0.4444493819752475,RHP,10000.0,South Korea,40,Pitcher,21-22,Under $100K,-0.50715880036415,2025.0,0.0
INT-0021,Gabriel Park,2002-07-21,South Korea,2025,KBO Futures,Pitcher,23,324,0.1891759941978938,0.1226005134728766,,,,88.85046160482989,0.4846079398528535,,51.30954044558091,INT-0021,source_id,South Korea,-0.50715880036415,RHP,10000.0,South Korea,40,Pitcher,23+,Under $100K,,,
INT-0022,Ruben Nakamura,2006-01-13,Cuba,2024,Cuban National Series,Pitcher,18,338,0.1556376940706232,0.0656320934587424,,,,90.73548598344128,0.551864853104606,,43.3055009357845,INT-0022,source_id,Cuba,0.14056514113166663,RHP,64000.0,Cuba,45,Pitcher,18 and under,Under $100K,0.46743777990358193,2025.0,1.0
INT-0022,Ruben Nakamura,2006-01-13,Cuba,2025,Cuban National Series,Pitcher,19,170,0.2126818410389671,0.0758689740198951,,,,91.59589937186944,0.5659789159420011,,46.25816816875056,INT-0022,source_id,Cuba,0.46743777990358193,RHP,64000.0,Cuba,45,Pitcher,19-20,Under $100K,,,
INT-0023,Rafael Estrada,2005-01-06,Dominican Republic,2022,Dominican Summer League,Pitcher,17,353,0.1379846058945636,0.1198593361310283,,,,86.46559116790165,0.4709856690523031,,58.5896928468177,INT-0023,source_id,Dominican Republic,-0.5207670086138156,RHP,45000.0,Dominican Republic,40,Pitcher,18 and under,Under $100K,-0.03658538804895348,2023.0,0.0
INT-0023,Rafael Estrada,2005-01-06,Dominican Republic,2023,Dominican Summer League,Pitcher,18,406,0.0864781303804335,0.0745030223755129,,,,91.57335929147152,0.5020605149009194,,53.011801795862525,INT-0023,source_id,Dominican Republic,-0.03658538804895348,RHP,45000.0,Dominican Republic,40,Pitcher,18 and under,Under $100K,-0.47038567595409275,2024.0,0.0
INT-0023,Rafael Estrada,2005-01-06,Dominican Republic,2024,Dominican Summer League,Pitcher,19,150,0.1759176845476906,0.1027598265519551,,,,87.91990960424464,0.4669550256639027,,50.18218218277641,INT-0023,source_id,Dominican Republic,-0.47038567595409275,RHP,45000.0,Dominican Republic,40,Pitcher,19-20,Under $100K,-0.38192489206066993,2025.0,0.0
INT-0023,Rafael Estrada,2005-01-06,Dominican Republic,2025,Dominican Summer League,Pitcher,20,549,0.0946819545822782,0.0658418946515771,,,,88.65358126321436,0.4831522258668293,,67.01934993910456,INT-0023,source_id,Dominican Republic,-0.38192489206066993,RHP,45000.0,Dominican Republic,40,Pitcher,19-20,Under $100K,,,
INT-0024,Ji-ho Choi,2007-03-07,Dominican Republic,2023,Dominican Summer League,Pitcher,16,115,0.268743577806059,0.0842830317698294,,,,92.50807447230348,0.4737399229983203,,39.17240265648386,INT-0024,source_id,Dominican Republic,0.6930879006535036,RHP,80000.0,Dominican Republic,55,Pitcher,18 and under,Under $100K,0.41841164021114735,2024.0,1.0
INT-0024,Ji-ho Choi,2007-03-07,D.R.,2024,Complex League,Pitcher,17,89,0.2831683386271266,0.0829165504674502,,,,91.6321246924539,0.4445769805572493,,42.54250555474871,INT-0024,source_id,Dominican Republic,0.41841164021114735,RHP,80000.0,Dominican Republic,55,Pitcher,18 and under,Under $100K,0.14937816810026042,2025.0,0.0
INT-0024,Ji-ho Choi,2007-03-07,Dominican Republic,2025,Dominican Summer League,Pitcher,18,198,0.3184344760339674,0.1234863316028772,,,,92.28364291503097,0.4266277291724469,,42.544914280677446,INT-0024,source_id,Dominican Republic,0.14937816810026042,RHP,80000.0,Dominican Republic,55,Pitcher,18 and under,Under $100K,,,
INT-0025,REN DOMINGUEZ,2001-12-09,Cuba,2022,Independent,Position Player,21,351,0.2586611532308694,0.0665361604524835,0.0858913230299169,0.7716645180345183,0.3013682688148393,,,25.36116408211717,44.55565804583597,INT-0025,source_id,Cuba,0.01956837010620255,OF,67000.0,Cuba,45,OF,21-22,Under $100K,0.2762242995217468,2023.0,0.0
,Ren Dominguez,2001-12-09,Cuba,2023,Cuban National Series,Position Player,22,122,0.2183651832830839,0.0998769908619243,0.1421877850168202,0.7434446119608557,0.2754277202473013,,,25.68759458110017,49.90763603172876,INT-0025,name_birth_date,Cuba,0.2762242995217468,OF,67000.0,Cuba,45,OF,21-22,Under $100K,0.19324555803828658,2024.0,0.0
INT-0025,REN DOMINGUEZ,2001-12-09,Cuba,2024,Cuban National Series,Position Player,23,619,0.2154420248263651,0.0587207760817453,0.1490226667331265,0.7604447715375717,0.3035494137313518,,,26.04068438129149,46.79969568379662,INT-0025,source_id,Cuba,0.19324555803828658,OF,67000.0,Cuba,45,OF,23+,Under $100K,0.6338290843260603,2025.0,1.0
INT-0025,Ren Dominguez,2001-12-09,Cuba,2025,Independent,Position Player,24,179,0.2001166921774038,0.0797967508984093,0.2046049845844364,0.7695262184022539,0.275375497788887,,,25.953060512625463,49.75659173619075,INT-0025,source_id,Cuba,0.6338290843260603,OF,67000.0,Cuba,45,OF,23+,Under $100K,,,
INT-0026,Seong-hyun Ramirez,2001-04-02,Venezuela,2022,Complex League,Position Player,21,429,0.2600371707308452,0.0791129090347604,0.02,0.7463211785556289,0.2846185160190945,,,27.280438895797108,62.35993311754808,INT-0026,source_id,Venezuela,0.2905778108330406,IF,10000.0,Venezuela,30,IF,21-22,Under $100K,0.3068783146261087,2023.0,0.0
INT-0026,Seong-hyun Ramirez,2001-04-02,Venezuela,2023,Dominican Summer League,Position Player,22,126,0.2487957587103543,0.0987748109853639,0.0595433259661506,0.7369330432092603,0.2851451785024984,,,27.31376884646027,63.86693657268466,INT-0026,source_id,Venezuela,0.3068783146261087,IF,10000.0,Venezuela,30,IF,21-22,Under $100K,0.763545543798966,2024.0,1.0
