player_id,player_name,country_std,league,position,age,bonus_tier,performance_index,projected_next_index,projection_percentile,overall_future_value
INT-0031,Kaito Perez,South Korea,Independent,IF,20,Under $100K,-0.42489308654432084,0.0021838066255605235,0.47419354838709676,45
INT-0032,Nicolas Ramirez,Venezuela,Complex League,IF,25,$100K-$499K,0.10398466439480178,0.2754413998961239,0.7354838709677419,45
INT-0033,Felix Choi,Mexico,Mexican League,RHP,22,Under $100K,0.10152896996674499,-0.013832854196032557,0.45806451612903226,45
INT-0034,Mateo Quintero,South Korea,Independent,RHP,23,Under $100K,0.43472864497010566,0.0805892538088544,0.5709677419354838,40
INT-0035,Esteban Herrera,Dominican Republic,Complex League,OF,19,$100K-$499K,-0.46276488265982635,-0.08686569788902952,0.3870967741935484,45
INT-0036,Gabriel Choi,Dominican Republic,Complex League,OF,18,$100K-$499K,0.21097776354084075,0.1167364349843693,0.6129032258064516,50
INT-0037,Seong-hyun Nakamura,Dominican Republic,Complex League,LHP,26,Under $100K,-0.7461679820385702,-0.6500156817280871,0.08387096774193549,35
INT-0038,Jorge Fernandez,Dominican Republic,Complex League,RHP,23,$100K-$499K,0.4127701907864074,0.2748299311472199,0.7322580645161291,45
INT-0039,Nicolas Yamamoto,Japan,Industrial League,OF,25,Under $100K,1.1847270609462086,0.818417733477627,0.967741935483871,45
INT-0040,Ji-ho Mori,Mexico,Mexican League,C,25,Under $100K,-0.7716166987088751,-0.7819222668749242,0.05161290322580645,20
INT-0041,Isaac Vargas,Japan,Industrial League,IF,21,Under $100K,-0.22346869537513245,-0.28169744757731746,0.24838709677419354,35
INT-0042,Nicolas Han,Colombia,Complex League,C,20,$100K-$499K,-0.5579828909597376,-0.16893259608012662,0.3225806451612903,45
INT-0043,Marco Fernandez,Venezuela,Complex League,IF,18,Under $100K,0.4503646486137867,0.16419416844321544,0.6483870967741936,30
INT-0044,Andres Mendez,South Korea,Independent,LHP,20,Under $100K,0.09831937316327763,-0.11808712519222549,0.36129032258064514,45
INT-0045,Ren Fernandez,Cuba,Cuban National Series,OF,18,$100K-$499K,0.9712878535348741,0.6235408278016626,0.9516129032258065,50
INT-0046,Marco Sanchez,Dominican Republic,Dominican Summer League,RHP,24,Under $100K,-0.5228309813761539,-0.4836106809778929,0.11935483870967742,35
INT-0047,Seong-hyun Park,Mexico,Mexican League,IF,23,$100K-$499K,-0.0183969402441432,0.12255752101564972,0.6225806451612903,50
INT-0048,Ren Choi,Venezuela,Complex League,OF,24,Under $100K,-0.5001186897086087,-0.41105477522407413,0.17096774193548386,35
INT-0049,Hector Garcia,Dominican Republic,Dominican Summer League,OF,20,Under $100K,0.024485546195046743,-0.05980265092276389,0.4096774193548387,40
INT-0050,Kenji Sanchez,South Korea,KBO Futures,OF,22,$100K-$499K,0.4863491821576399,-0.02732592305763666,0.43548387096774194,40
INT-0051,Jorge Mendez,Panama,Panamanian League,LHP,19,Under $100K,-1.328136801405163,-0.7476799236950876,0.054838709677419356,40
INT-0052,Yun-seo Ramirez,Panama,Panamanian League,C,26,Under $100K,-0.16453297040522039,-0.21018108919607287,0.2967741935483871,45
INT-0053,Isaac Dominguez,Japan,Industrial League,IF,21,Under $100K,0.3149252966657309,0.055795017735936474,0.5387096774193548,30
INT-0054,Omar Torres,Japan,NPB Farm,RHP,20,$500K-$1.49M,0.10563632334070894,0.05030082555235081,0.535483870967742,50
INT-0055,Luis Ortega,Dominican Republic,Dominican Summer League,OF,19,$100K-$499K,-0.3068874158408449,0.0291914550817214,0.5096774193548387,45
INT-0058,Kenji Quintero,Mexico,Mexican League,IF,25,Under $100K,-0.35177818818553086,-0.40993998116831126,0.17419354838709677,30
INT-0059,Felix Lee,South Korea,Independent,C,19,Under $100K,-0.5509973125451169,-0.5429490093586501,0.1,45
INT-0060,Min-jun Torres,Venezuela,Complex League,RHP,18,Under $100K,-1.0749029493577593,-0.669922873743451,0.07419354838709677,35
INT-0061,Yun-seo Dominguez,Venezuela,Complex League,RHP,18,Under $100K,0.6732186796587578,0.5024515086704211,0.9096774193548387,55
INT-0062,Carlos Torres,Venezuela,Complex League,LHP,23,Under $100K,-0.24914078991524402,-0.14081741068357384,0.34516129032258064,40
INT-0063,Hector Herrera,Venezuela,Dominican Summer League,OF,22,Under $100K,0.27357143549050184,0.14610694677007763,0.635483870967742,45
INT-0064,Seong-hyun Benitez 2,Dominican Republic,Complex League,IF,22,Under $100K,-0.6885755718691366,-0.8085136977794395,0.035483870967741936,35
INT-0065,Ruben Choi,Dominican Republic,Dominican Summer League,OF,21,$100K-$499K,0.6691416330522681,0.3429704561168592,0.7967741935483871,50
INT-0066,Mateo Perez,Venezuela,Complex League,RHP,19,$100K-$499K,0.08105055658639987,0.1271454912859739,0.6258064516129033,40
INT-0067,Daniel Mori,Dominican Republic,Complex League,RHP,20,Under $100K,-0.31852637714644993,-0.15244835936654738,0.3387096774193548,40
INT-0068,Rafael Han,Colombia,Complex League,IF,25,Under $100K,-0.8141982677648402,-0.23461777545423373,0.2645161290322581,35
INT-0069,Diego Herrera 2,Cuba,Independent,RHP,21,$100K-$499K,0.6928018555398423,0.361776922032551,0.8161290322580645,45
INT-0070,Daichi Torres,Dominican Republic,Dominican Summer League,OF,23,Under $100K,-0.09660644254383643,-0.17675397367056556,0.3193548387096774,45
INT-0071,Haruto Garcia,Cuba,Cuban National Series,OF,24,Under $100K,0.34999597882034844,0.11224675768746738,0.6064516129032258,30
INT-0072,Omar Vargas,Dominican Republic,Complex League,OF,20,Under $100K,1.1637555370991524,1.1668564529405594,1.0,45
INT-0073,Daichi Han,Venezuela,Dominican Summer League,LHP,23,Under $100K,0.015394925263905027,-0.2107826144827834,0.29354838709677417,35
INT-0074,Isaac Ortega,Dominican Republic,Dominican Summer League,RHP,24,Under $100K,0.5380534124126076,0.07300188880087127,0.5645161290322581,40
INT-0075,Ruben Fernandez,Mexico,Mexican Pacific League,C,22,Under $100K,0.41064711102955953,0.19417360342621415,0.6774193548387096,35
INT-0076,Hector Kim,Cuba,Independent,OF,26,Under $100K,-0.7373911412853067,-0.5246200488015159,0.1064516129032258,35
INT-0077,Kaito Mori,Mexico,Mexican League,RHP,26,$100K-$499K,-0.007205635825376595,0.20587337713175474,0.6903225806451613,50
INT-0078,Adrian Kim,Dominican Republic,Complex League,OF,23,Under $100K,-0.38667042607664415,-0.02236423376354297,0.4483870967741935,40
INT-0079,Kenji Yamamoto,Cuba,Independent,OF,20,Under $100K,-0.06050853082094648,-0.26568447614077534,0.25483870967741934,50
INT-0080,Gabriel Sanchez,Mexico,Mexican Pacific League,IF,19,$100K-$499K,0.917326672127971,0.8674407495476398,0.9741935483870968,45
INT-0081,Diego Jimenez,Dominican Republic,Complex League,RHP,25,Under $100K,0.9520149156082051,0.5624437027780764,0.9451612903225807,45
INT-0082,Seong-hyun Nakamura 2,Venezuela,Dominican Summer League,RHP,19,$100K-$499K,0.15628842934881249,-0.006925738030299458,0.46774193548387094,40
INT-0083,Emilio Quintero,Venezuela,Dominican Summer League,IF,20,Under $100K,0.49549564399754126,0.12183713686960833,0.6193548387096774,40
INT-0084,Daniel Quintero,Venezuela,Complex League,IF,20,Under $100K,0.4758235178237715,0.3684665614577428,0.8193548387096774,30
INT-0085,Rafael Benitez,Venezuela,Dominican Summer League,OF,20,$100K-$499K,-0.575763117857976,-0.10291910235113479,0.3774193548387097,45
INT-0086,Kenji Valdez,Japan,NPB Farm,C,20,Under $100K,0.003815477251109922,-0.13404915768599562,0.34838709677419355,40
INT-0087,Daniel Sato 2,Japan,Industrial League,RHP,19,Under $100K,-0.2181713618699066,-0.2171430604233689,0.2870967741935484,35
INT-0088,Felix Lopez,Japan,Industrial League,OF,20,Under $100K,-1.3125038543706053,-0.788322135810704,0.04838709677419355,30
INT-0089,Mateo Ortega,Japan,Industrial League,RHP,22,$100K-$499K,0.8303541185434237,0.5001189347535366,0.9032258064516129,55
INT-0090,Luis Sato,Venezuela,Dominican Summer League,RHP,23,Under $100K,-0.31400303467737817,-0.4021421901564021,0.18387096774193548,35
INT-0091,Ren Herrera,Japan,NPB Farm,LHP,24,$100K-$499K,0.4426089096324527,0.17718526969237292,0.6516129032258065,45
INT-0092,Alejandro Martinez,South Korea,KBO Futures,OF,24,Under $100K,-0.6197653122206386,-0.5397959886427272,0.1032258064516129,40
INT-0093,Kenji Quintero 2,Panama,Complex League,RHP,18,Under $100K,0.08524471551550644,-0.08407861268340573,0.3903225806451613,45
INT-0094,Mateo Valdez,Venezuela,Dominican Summer League,IF,19,$100K-$499K,0.302561304330386,0.5614285349465704,0.9419354838709677,50
INT-0095,Emilio Benitez,Japan,NPB Farm,LHP,24,$100K-$499K,0.020867695086293922,-0.016605497707893768,0.45483870967741935,35
INT-0096,Esteban Han 2,Dominican Republic,Dominican Summer League,OF,18,Under $100K,0.20241296199904085,0.10583096408724806,0.5967741935483871,45
INT-0098,Hector Kim 2,Venezuela,Complex League,IF,20,Under $100K,-0.6882669447414036,-0.29742428539089555,0.23225806451612904,25
INT-0099,Alejandro Park,Venezuela,Complex League,OF,19,$100K-$499K,-0.1629290462123871,0.046171163846389834,0.5290322580645161,55
INT-0100,Marco Sato,Dominican Republic,Complex League,IF,26,$100K-$499K,0.9807130902337564,1.158574389547887,0.9967741935483871,60
INT-0101,Gabriel Perez,South Korea,KBO Futures,OF,23,$100K-$499K,0.028914007889349155,-0.066777342375623,0.3967741935483871,45
INT-0102,Adrian Garcia,Colombia,Colombian Winter League,IF,19,$100K-$499K,-0.30078787999668916,0.30334729985346864,0.7612903225806451,60
INT-0103,Gabriel Tanaka,Dominican Republic,Dominican Summer League,RHP,23,Under $100K,-0.21460024699001634,-0.09926189343488566,0.38387096774193546,45
INT-0104,Hector Jimenez,Mexico,Mexican Pacific League,RHP,19,Under $100K,-1.8234485042707274,-1.2837552484041408,0.0032258064516129032,25
INT-0105,Carlos Park,Mexico,Mexican Pacific League,OF,23,$100K-$499K,-0.10431487775211884,0.22881764146834999,0.7129032258064516,45
INT-0106,Mateo Sanchez,Panama,Panamanian League,LHP,19,$100K-$499K,0.3454748255277762,0.013840503820637284,0.49032258064516127,45
INT-0107,Rafael Navarro,Venezuela,Complex League,C,19,Under $100K,-1.1027213602505366,-0.8251783064688382,0.025806451612903226,30
INT-0108,Isaac Valdez,Venezuela,Dominican Summer League,LHP,26,Under $100K,0.18233811981340176,0.02071898087063024,0.5032258064516129,40
INT-0109,Nicolas Jimenez,Cuba,Independent,OF,25,$100K-$499K,0.6677913790653219,0.5339033590420056,0.9290322580645162,50
INT-0110,Daichi Tanaka,Mexico,Mexican Pacific League,RHP,23,Under $100K,-0.06356225200268804,-0.2975150416896372,0.22903225806451613,30
INT-0111,Yun-seo Vargas 2,Dominican Republic,Dominican Summer League,RHP,23,Under $100K,0.1563003081448407,0.18174750958508307,0.6580645161290323,50
INT-0112,Rafael Navarro 2,Dominican Republic,Complex League,OF,22,Under $100K,-0.29847373527026244,-0.3820946213499491,0.1967741935483871,25
INT-0113,Esteban Park,Dominican Republic,Dominican Summer League,LHP,20,Under $100K,0.5232936799383641,0.20087634621457945,0.6870967741935484,40
INT-0114,Ji-ho Mori 2,Dominican Republic,Complex League,C,18,Under $100K,-0.7085902200718414,-0.20447487423181365,0.3032258064516129,45
INT-0115,Jorge Mendez 2,Dominican Republic,Dominican Summer League,IF,18,Under $100K,0.0840382169598383,0.18815007751955592,0.667741935483871,40
INT-0116,Emilio Yamamoto,Dominican Republic,Complex League,OF,23,Under $100K,1.204771818517695,0.6954403774629816,0.9612903225806452,40
INT-0117,Ren Ortega,Venezuela,Dominican Summer League,RHP,25,$100K-$499K,0.06009381615578596,-0.10627073154820714,0.3709677419354839,40
INT-0118,Daniel Mendez,Cuba,Cuban National Series,OF,21,$100K-$499K,0.2883215444331231,0.10463118411335624,0.5935483870967742,40
INT-0119,Yun-seo Ortega,Venezuela,Dominican Summer League,LHP,25,$100K-$499K,0.3109936701459945,0.3195861793725201,0.7806451612903226,50
INT-0120,Yun-seo Garcia,Panama,Panamanian League,RHP,23,Under $100K,-0.3651515111140651,-0.40287591111909565,0.1774193548387097,35
INT-0121,Isaac Quintero,Mexico,Mexican Pacific League,IF,19,$500K-$1.49M,-0.11118134764248572,0.4475420676837586,0.8709677419354839,65
INT-0122,Santiago Rojas,Venezuela,Complex League,OF,25,$100K-$499K,0.18660520507438147,0.28750388839775354,0.7483870967741936,55
INT-0123,Ren Quintero,Dominican Republic,Dominican Summer League,RHP,21,Under $100K,-0.41605629826822105,-0.28988517762031424,0.24193548387096775,40
INT-0124,Kaito Vargas,Dominican Republic,Complex League,IF,21,$100K-$499K,0.19939199473463964,0.22529954530430585,0.7096774193548387,50
INT-0126,Alejandro Nakamura,Venezuela,Dominican Summer League,RHP,21,$100K-$499K,0.4399659788558767,0.3560800173022635,0.8064516129032258,55
INT-0127,Ji-ho Estrada,Dominican Republic,Complex League,LHP,24,$100K-$499K,0.2159316068043444,0.27736259389163453,0.7419354838709677,40
INT-0128,Javier Jimenez,Dominican Republic,Dominican Summer League,RHP,20,Under $100K,-0.3423478595126399,-0.22206653781413271,0.27741935483870966,40
INT-0130,Yun-seo Navarro,Dominican Republic,Dominican Summer League,IF,26,Under $100K,-0.6977107816188071,-0.5093959478428634,0.11612903225806452,35
INT-0131,Isaac Ramirez,Dominican Republic,Complex League,RHP,21,Under $100K,0.5411996615040648,0.37591677359289044,0.8258064516129032,45
INT-0132,Andres Choi,Panama,Complex League,OF,25,Under $100K,0.5703642904037733,0.18786032850493223,0.6645161290322581,40
INT-0133,Emilio Fernandez,Dominican Republic,Complex League,RHP,21,Under $100K,-0.26189022460282396,-0.5162726118162902,0.11290322580645161,30
INT-0134,Min-jun Estrada,Japan,Industrial League,OF,23,Under $100K,0.15056013814764846,0.3464964782714572,0.8,40
INT-0135,Rafael Ortega,Cuba,Independent,RHP,20,Under $100K,-0.7292489937226508,-0.6513862681240316,0.08064516129032258,25
INT-0136,Hector Nakamura,Venezuela,Complex League,RHP,25,Under $100K,-1.2745689932609734,-0.6946819217199308,0.06451612903225806,40
INT-0137,Esteban Quintero,Dominican Republic,Complex League,IF,26,$100K-$499K,0.044997460585087024,0.06439993801300742,0.5483870967741935,55
INT-0138,Nicolas Lee,Dominican Republic,Dominican Summer League,LHP,25,Under $100K,0.9711851480891409,0.20654387134149538,0.6935483870967742,35
INT-0139,Andres Fernandez,Mexico,Mexican League,OF,25,$100K-$499K,0.00982939322583104,0.13937689914470708,0.632258064516129,55
INT-0140,Nicolas Kim,Dominican Republic,Complex League,OF,25,Under $100K,0.008470953375579376,0.15729173710542926,0.6419354838709678,50
INT-0141,Jorge Dominguez 2,Dominican Republic,Dominican Summer League,C,20,$100K-$499K,-0.5507299215901529,-0.3469928076734175,0.2129032258064516,40
INT-0142,Ji-ho Garcia,South Korea,KBO Futures,OF,26,$1.5M+,0.16310901501529024,0.3610716017829327,0.8129032258064516,65
INT-0143,Santiago Han,Dominican Republic,Complex League,OF,21,Under $100K,0.12272505757172504,-0.03169249690254024,0.4258064516129032,35
INT-0144,Omar Alvarez,Dominican Republic,Dominican Summer League,IF,24,Under $100K,-0.004391482850452072,0.03694252650375082,0.5161290322580645,35
INT-0145,Isaac Nakamura,Dominican Republic,Complex League,OF,24,$100K-$499K,-0.057099432374668024,0.004866662155211782,0.4774193548387097,35
INT-0146,Luis Yamamoto,Mexico,Mexican League,IF,18,Under $100K,0.4818745046945968,0.23392437945938466,0.7161290322580646,45
INT-0147,Daniel Estrada,Panama,Complex League,OF,20,Under $100K,0.3741594931174605,0.39188787607486436,0.8387096774193549,55
INT-0148,Adrian Estrada,Cuba,Independent,IF,26,Under $100K,0.3303671515734387,0.30370414082008007,0.7645161290322581,45
INT-0149,Andres Fernandez 2,South Korea,Independent,RHP,23,Under $100K,0.29459537408966013,0.011747156464189772,0.4870967741935484,45
INT-0150,Min-jun Garcia,Japan,NPB Farm,OF,25,$500K-$1.49M,0.7532066674735578,0.3933692177464472,0.8419354838709677,45
INT-0151,Santiago Tanaka,Japan,Industrial League,RHP,20,$100K-$499K,-0.4536453425914201,-0.457908475002369,0.13225806451612904,30
INT-0152,Alejandro Kim,Venezuela,Complex League,C,26,Under $100K,-0.7477025969629265,-0.6027854256511308,0.0935483870967742,30
INT-0153,Mateo Quintero 2,Venezuela,Dominican Summer League,C,18,Under $100K,-0.8216820270004854,-0.35399935017769496,0.20967741935483872,45
INT-0154,Ren Benitez,Mexico,Mexican Pacific League,RHP,26,Under $100K,0.29071453734315417,0.24771807651327338,0.7258064516129032,45
INT-0155,Omar Torres 2,South Korea,KBO Futures,OF,23,Under $100K,0.12557142375885555,0.15888822114398887,0.6451612903225806,45
INT-0156,Hector Sato 2,Cuba,Cuban National Series,OF,24,$100K-$499K,0.3160069182876004,0.2434883697839682,0.7225806451612903,40
INT-0157,Omar Jimenez,Venezuela,Dominican Summer League,IF,26,Under $100K,0.35379474838134434,0.19970286534559717,0.6838709677419355,45
INT-0158,Nicolas Choi,Venezuela,Dominican Summer League,RHP,26,Under $100K,0.35911930953745946,-0.02727992080500015,0.43870967741935485,35
INT-0159,Daichi Vargas,Dominican Republic,Complex League,OF,26,$100K-$499K,0.0814427385277677,0.10683528465994692,0.6,45
INT-0160,Santiago Han 2,Mexico,Mexican League,RHP,18,Under $100K,-1.192706603730699,-0.6868428665596701,0.06774193548387097,40
INT-0161,Kaito Herrera,Dominican Republic,Complex League,LHP,22,Under $100K,-0.8288883955999515,-0.8326899887197347,0.02258064516129032,30
INT-0162,Alejandro Dominguez 2,Venezuela,Complex League,IF,20,Under $100K,-0.1183702512561306,-0.21285535667289357,0.2903225806451613,35
INT-0163,Santiago Quintero,Dominican Republic,Complex League,OF,22,Under $100K,-0.13143254152093647,-0.29122874452872777,0.23870967741935484,30
INT-0164,Alejandro Mori,Mexico,Mexican League,C,21,Under $100K,-0.710414092433675,-0.36560939799490444,0.2032258064516129,35
INT-0166,Emilio Choi,Dominican Republic,Complex League,IF,22,Under $100K,-0.8436983319096805,-0.9716842119783,0.00967741935483871,25
INT-0167,Jorge Sanchez,South Korea,Independent,LHP,22,Under $100K,-0.5767061169439175,-0.4281594592863061,0.15483870967741936,40
INT-0168,Isaac Han,Venezuela,Complex League,RHP,24,Under $100K,0.9505412501753169,0.5279453953203282,0.9258064516129032,50
INT-0169,Jorge Benitez,Mexico,Mexican League,LHP,24,Under $100K,0.05841834648626895,0.1834083500085663,0.6612903225806451,50
INT-0170,Yun-seo Torres,Mexico,Mexican League,RHP,21,Under $100K,-0.36989982075299865,-0.45035535005483646,0.14516129032258066,40
INT-0171,Kenji Lopez,South Korea,KBO Futures,IF,24,Under $100K,0.02574230382531384,-0.06542857404404763,0.4,40
INT-0172,Andres Ramirez,Cuba,Independent,LHP,26,$100K-$499K,0.926425286263465,0.4040590146272843,0.8516129032258064,35
INT-0174,Daichi Mendez 2,Dominican Republic,Complex League,LHP,25,Under $100K,0.39190986067816125,0.35684286835230705,0.8096774193548387,50
INT-0176,Omar Herrera,South Korea,KBO Futures,RHP,24,Under $100K,-1.075104209353758,-1.0058231696514592,0.0064516129032258064,30
INT-0177,Seong-hyun Valdez,Dominican Republic,Dominican Summer League,IF,23,Under $100K,-0.7294390452926593,-0.4734894603432192,0.12258064516129032,45
INT-0178,Felix Garcia,Venezuela,Complex League,LHP,18,Under $100K,0.4799224830686393,0.2162577608575006,0.7032258064516129,40
INT-0179,Alejandro Torres,Mexico,Mexican League,LHP,26,$100K-$499K,0.39071706459486644,0.29797019285859916,0.7580645161290323,50
INT-0180,Andres Quintero,Dominican Republic,Complex League,OF,22,Under $100K,0.07642142233505814,-0.023548750966549924,0.44516129032258067,35
INT-0181,Min-jun Jimenez,Venezuela,Dominican Summer League,RHP,21,Under $100K,0.006437442241735286,0.1921901654990723,0.6741935483870968,55
INT-0182,Kaito Torres,Venezuela,Dominican Summer League,RHP,23,$500K-$1.49M,0.35258884304243027,0.5005501440227891,0.9064516129032258,60
INT-0183,Marco Rojas,Cuba,Cuban National Series,RHP,18,Under $100K,0.5419961147048286,0.3121512845262655,0.7741935483870968,50
INT-0184,Felix Benitez,Mexico,Mexican League,OF,26,Under $100K,-2.16528947781236e-05,-0.055953467607730525,0.4129032258064516,40
INT-0185,Carlos Vargas 2,Japan,NPB Farm,C,22,$100K-$499K,0.7463972879952658,0.3954759292610254,0.8451612903225807,45
INT-0186,Isaac Martinez,Venezuela,Complex League,C,20,$100K-$499K,0.6939940089574949,0.4367457217425338,0.867741935483871,45
INT-0187,Rafael Sato,Dominican Republic,Dominican Summer League,OF,19,Under $100K,-0.35998735833350987,-0.16414621547536368,0.32903225806451614,40
INT-0188,Nicolas Jimenez 2,Venezuela,Dominican Summer League,RHP,20,Under $100K,-0.33229880764777386,-0.19282376573798438,0.3064516129032258,45
INT-0189,Gabriel Torres,Colombia,Complex League,OF,23,$100K-$499K,1.1603338230528186,1.085819010120593,0.9935483870967742,55
INT-0190,Adrian Torres,Japan,NPB Farm,OF,21,Under $100K,-1.0542976530250743,-0.38388628411235454,0.19032258064516128,45
INT-0191,Min-jun Sato,Venezuela,Complex League,RHP,18,Under $100K,-0.7541585540569643,-0.4509330156772124,0.14193548387096774,45
INT-0192,Diego Yamamoto,Mexico,Mexican League,LHP,21,Under $100K,-0.7929068035372614,-0.8011691379431456,0.03870967741935484,30
INT-0193,Emilio Sanchez,Venezuela,Complex League,C,26,Under $100K,0.45829828546198603,0.3767561120710777,0.8290322580645161,35
INT-0194,Min-jun Navarro,Dominican Republic,Complex League,RHP,26,Under $100K,-0.2863328216031164,-0.2833879660542546,0.24516129032258063,40
INT-0195,Hector Garcia 2,Dominican Republic,Dominican Summer League,IF,23,Under $100K,0.294593806095566,0.2962450480444397,0.7548387096774194,50
INT-0196,Nicolas Vargas,Dominican Republic,Complex League,RHP,20,$100K-$499K,0.526295443354927,0.3341740237184638,0.7903225806451613,45
INT-0197,Kenji Benitez,Cuba,Cuban National Series,RHP,22,$100K-$499K,0.038056357582237826,0.060023441319787416,0.5451612903225806,40
INT-0198,Gabriel Sanchez 2,Colombia,Complex League,IF,18,$100K-$499K,0.3155990182361292,0.4312121618043692,0.864516129032258,40
INT-0199,Yun-seo Navarro 2,Dominican Republic,Complex League,OF,25,$100K-$499K,-0.5996289582294967,-0.6012939035044973,0.0967741935483871,40
INT-0200,Diego Mendez,Dominican Republic,Dominican Summer League,IF,26,Under $100K,-0.6344420287025073,-0.6178205932174266,0.09032258064516129,35
INT-0201,Mateo Dominguez,Mexico,Mexican Pacific League,IF,25,Under $100K,-0.9512642038536925,-0.700480736092279,0.06129032258064516,35
INT-0202,Nicolas Tanaka,Panama,Complex League,C,25,Under $100K,0.5124830535042973,0.46153514480334124,0.8806451612903226,55
INT-0203,Min-jun Kim,Dominican Republic,Complex League,OF,18,Under $100K,-0.5204723431015339,-0.3673325577577969,0.2,35
INT-0204,Daichi Yamamoto,Panama,Complex League,IF,25,Under $100K,-0.23096692658906057,-0.11761680694893793,0.36451612903225805,50
INT-0205,Alejandro Benitez,Venezuela,Complex League,IF,20,Under $100K,-0.19408909994905893,0.03832737943259212,0.5225806451612903,50
INT-0206,Ruben Choi 2,Japan,Industrial League,RHP,23,Under $100K,-0.2272815962345245,-0.3296293273706404,0.22580645161290322,40
INT-0207,Alejandro Nakamura 2,Mexico,Mexican League,LHP,24,$100K-$499K,1.3393834432627467,0.9273316239243264,0.9870967741935484,55
